iter,EE,Rsum,Ptot,cost,grad_theta_norm,grad_p_norm,penalty_power,penalty_qos_dl,penalty_qos_ul,mean_sinr_dl_db,mean_sinr_ul_db,mean_direct,mean_reflect,reflect_direct_ratio,active_bs_per_user,avg_ris_load,step_mu,accepted_ls_trials,phase_change_norm,power_change_norm
11,1104313.01940092,372559319.523936,337.367497239186,326.106481521248,1.07675571634439e-07,1.99350679655644,14.5560907917589,161.435980109763,150.12545374992,-32.3789555102846,-41.5177322116214,2.2134922615688e-13,1.11101765186123e-14,0.0501929765534306,2,1,1,1,1.01422404745834e-08,0.0468691613438327
12,1106272.99722633,375819374.232023,339.716665935338,342.658661461434,1.14098226023333e-07,1.99066072845056,14.5560907917589,170.133450641935,157.980182757713,-32.33606606083,-41.5199692071579,2.2134922615688e-13,1.11101764810657e-14,0.0501929763838044,2,1,1,1,1.08055377267746e-08,0.0457441793337356
13,1108362.31392149,379061272.640504,342.001228189858,360.095838637967,1.20339167526553e-07,1.98795875431401,14.5560907917589,179.299974867353,166.250856601994,-32.2938317479053,-41.5221494507944,2.2134922615688e-13,1.11101764412795e-14,0.0501929762040604,2,1,1,1,1.1450068703364e-08,0.04465561757762
14,1110574.99721132,382285469.200266,344.223010746859,378.465477986663,1.26403537736759e-07,1.98539348554856,14.5560907917589,188.96085100639,174.959641938486,-32.2522317292829,-41.5242745859257,2.2134922615688e-13,1.1110176399317e-14,0.0501929760144846,2,1,1,1,1.20763642613202e-08,0.0436025063838975
15,1112905.44826872,385492405.598243,346.383788665902,397.817596570644,1.32296332771416e-07,1.98295790308155,14.5560907917589,199.142743187434,184.129891645934,-32.2112460800853,-41.526346206589,2.2134922615688e-13,1.11101763552399e-14,0.0501929758153554,2,1,1,1,1.26849404431879e-08,0.0425839011259678
16,1115348.41170091,388682511.115873,348.485286784183,418.20490109384,1.38022407388381e-07,1.98064534031538,14.5560907917589,209.873755284099,193.786208502099,-32.1708557426727,-41.528365859027,2.2134922615688e-13,1.1110176309108e-14,0.050192975606943,2,1,1,1,1.32762985035295e-08,0.0415988813033802
17,1117898.94840173,391856202.977576,350.529181137363,439.682932837364,1.43586478985085e-07,1.97844946670617,14.5560907917589,221.183508749032,203.954512286057,-32.1310424798296,-41.5303350431967,2.2134922615688e-13,1.11101762609794e-14,0.0501929753895101,2,1,1,1,1.38509259593159e-08,0.0406465496262806
18,1120552.41095608,395013886.68947,352.51710034021,462.310220420208,1.48993131484611e-07,1.97636427196575,14.5560907917589,233.103224660772,214.662110491787,-32.0917888309918,-41.5322552142269,2.2134922615688e-13,1.11101762109106e-14,0.0501929751633119,2,1,1,1,1.44092956993054e-08,0.0397260311237155
19,1123304.42132239,398155956.368929,354.450626928191,486.148440807088,1.54246819111839e-07,1.97438405087725,14.5560907917589,245.665810212085,225.937772847457,-32.0530780712828,-41.534127783825,2.2134922615688e-13,1.11101761589565e-14,0.0501929749285963,2,1,1,1,1.49518677506736e-08,0.0388364722765261
20,1126150.85054907,401282795.064466,356.331298661112,511.262589009766,1.5935187006279e-07,1.97250338871574,14.5560907917589,258.905949880499,237.811809846013,-32.0148941731469,-41.5359541216367,2.2134922615688e-13,1.11101761051704e-14,0.0501929746856043,2,1,1,1,1.54790899391304e-08,0.0379770401756101
